player,cricinfo_id,team,season,competition,total_impact,total_impact_per_ball,total_bat_impact,bat_impact_per_ball,total_bowl_impact,bowl_impact_per_ball,runs_for,balls_faced,boundaries,dots_against,sixes,non_boundary_balls_faced,non_boundary_runs_gained,wickets_lost,wickets_taken,runs_against,balls_bowled,boundaries_against,dots_bowled,bowl_economy,bowl_average,strike_rate,average,balls_total,boundary_perc_against,boundary_percentage,six_percentage,dots_bowled_percentage,dots_batted_percentage,non_boundary_strike_rate,team_abbr,logo_url,primary_color,comp_logo,comp_colour_main,comp_colour_secondary,headshot_image_url,headshot_primary_image_url,headshot_secondary_image_url
Adam Hose,525992,Northern Superchargers (Men),2022,The Hundred Men's Competition,16.464,0.144,16.464,0.144,0,0,182,114,24,26,7,92,72,6,NA,NA,0,NA,NA,NA,NA,1.596,30.333,114,NA,0.211,0.061,NA,0.228,0.783,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/324200/324227.png,https://www.espncricinfo.com/db/PICTURES/CMS/324200/324227.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png
Adam Hose,525992,Northern Superchargers (Men),2023,The Hundred Men's Competition,6.226,0.068,6.226,0.068,0,0,134,91,21,35,5,73,40,6,NA,NA,0,NA,NA,NA,NA,1.473,22.333,91,NA,0.231,0.055,NA,0.385,0.548,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/324200/324227.png,https://www.espncricinfo.com/db/PICTURES/CMS/324200/324227.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png
Adam Hose,525992,Northern Superchargers (Men),2024,The Hundred Men's Competition,-22.541,-0.289,-22.541,-0.289,0,0,92,78,10,28,4,71,44,4,NA,NA,0,NA,NA,NA,NA,1.179,23,78,NA,0.128,0.051,NA,0.359,0.62,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/324200/324227.png,https://www.espncricinfo.com/db/PICTURES/CMS/324200/324227.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png
Adam Hose,525992,Trent Rockets (Men),2025,The Hundred Men's Competition,2.234,0.248,2.234,0.248,0,0,14,9,3,4,0,6,2,NA,NA,NA,0,NA,NA,NA,NA,1.556,NA,9,NA,0.333,0,NA,0.444,0.333,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/324200/324227.png,https://www.espncricinfo.com/db/PICTURES/CMS/324200/324227.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png
Adam Lyth,251721,Northern Superchargers (Men),2021,The Hundred Men's Competition,-7.133,-0.125,-11.709,-0.316,4.576,0.229,40,37,6,17,1,32,14,5,2,24,20,2,8,1.2,12,1.081,8,57,0.1,0.162,0.027,0.4,0.459,0.438,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/322800/322853.png,https://www.espncricinfo.com/db/PICTURES/CMS/322800/322853.png,https://www.espncricinfo.com/db/PICTURES/CMS/304300/304333.jpg
Adam Lyth,251721,Northern Superchargers (Men),2022,The Hundred Men's Competition,71.931,0.423,71.931,0.423,0,0,299,170,42,52,20,135,91,8,NA,NA,0,NA,NA,NA,NA,1.759,37.375,170,NA,0.247,0.118,NA,0.306,0.674,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/322800/322853.png,https://www.espncricinfo.com/db/PICTURES/CMS/322800/322853.png,https://www.espncricinfo.com/db/PICTURES/CMS/304300/304333.jpg
Adam Lyth,251721,Northern Superchargers (Men),2023,The Hundred Men's Competition,-3.448,-0.133,-3.448,-0.133,0,0,29,26,4,11,2,23,9,3,NA,NA,0,NA,NA,NA,NA,1.115,9.667,26,NA,0.154,0.077,NA,0.423,0.391,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/322800/322853.png,https://www.espncricinfo.com/db/PICTURES/CMS/322800/322853.png,https://www.espncricinfo.com/db/PICTURES/CMS/304300/304333.jpg
Adam Lyth,251721,Trent Rockets (Men),2024,The Hundred Men's Competition,-15.339,-0.326,-14.8,-0.352,-0.538,-0.108,41,42,5,18,1,38,19,4,0,7,5,1,1,1.4,Inf,0.976,10.25,47,0.2,0.119,0.024,0.2,0.429,0.5,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/322800/322853.png,https://www.espncricinfo.com/db/PICTURES/CMS/322800/322853.png,https://www.espncricinfo.com/db/PICTURES/CMS/304300/304333.jpg
Adam Milne,450860,Birmingham Phoenix (Men),2021,The Hundred Men's Competition,78.798,0.54,4.498,1.499,74.3,0.52,9,3,2,0,0,2,1,NA,14,138,143,13,65,0.965,9.857,3,NA,146,0.091,0.667,0,0.455,0,0.5,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/316600/316689.png,https://www.espncricinfo.com/db/PICTURES/CMS/316600/316689.png,https://www.espncricinfo.com/db/PICTURES/CMS/303700/303779.png
Adam Milne,450860,Birmingham Phoenix (Men),2023,The Hundred Men's Competition,-1.826,-0.014,-11.908,-0.441,10.082,0.096,23,27,1,8,1,27,17,2,11,142,105,21,45,1.352,12.909,0.852,11.5,132,0.2,0.037,0.037,0.429,0.296,0.63,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/316600/316689.png,https://www.espncricinfo.com/db/PICTURES/CMS/316600/316689.png,https://www.espncricinfo.com/db/PICTURES/CMS/303700/303779.png
