player,cricinfo_id,team,season,competition,total_impact,total_impact_per_ball,total_bat_impact,bat_impact_per_ball,total_bowl_impact,bowl_impact_per_ball,runs_for,balls_faced,boundaries,dots_against,sixes,non_boundary_balls_faced,non_boundary_runs_gained,wickets_lost,wickets_taken,runs_against,balls_bowled,boundaries_against,dots_bowled,bowl_economy,bowl_average,strike_rate,average,balls_total,boundary_perc_against,boundary_percentage,six_percentage,dots_bowled_percentage,dots_batted_percentage,non_boundary_strike_rate,team_abbr,logo_url,primary_color,comp_logo,comp_colour_main,comp_colour_secondary,headshot_image_url,headshot_primary_image_url,headshot_secondary_image_url
Aaron Finch,5334,San Francisco Unicorns,2023,Major League Cricket,-24.621,-0.32,-24.621,-0.32,0,0,68,77,9,39,3,68,26,4,NA,NA,0,NA,NA,NA,NA,0.883,17,77,NA,0.117,0.039,NA,0.506,0.382,SF,https://www.espncricinfo.com/db/PICTURES/CMS/361700/361792.png,#f5680a,https://upload.wikimedia.org/wikipedia/commons/4/43/Major_League_Cricket_logo.svg,#000B5B,#EA0048,https://www.espncricinfo.com/db/PICTURES/CMS/316500/316533.png,https://www.espncricinfo.com/db/PICTURES/CMS/316500/316533.png,https://www.espncricinfo.com/db/PICTURES/CMS/304000/304053.jpg
Aaron Hardie,1124283,Texas Super Kings,2024,Major League Cricket,0.246,0.003,-4.616,-0.085,4.862,0.143,67,54,7,19,3,49,33,3,2,41,34,5,11,7.235,20.5,1.241,22.333,88,0.147,0.13,0.056,0.324,0.352,0.673,TSK,https://www.espncricinfo.com/db/PICTURES/CMS/361700/361794.png,#e6f609,https://upload.wikimedia.org/wikipedia/commons/4/43/Major_League_Cricket_logo.svg,#000B5B,#EA0048,https://www.espncricinfo.com/db/PICTURES/CMS/313600/313651.1.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/313600/313651.1.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/313600/313651.1.jpg
Aaron Jones,957645,Seattle Orcas,2024,Major League Cricket,-21.862,-0.625,-21.862,-0.625,0,0,27,35,4,20,0,32,11,3,NA,NA,0,NA,NA,NA,NA,0.771,9,35,NA,0.114,0,NA,0.571,0.344,SEA,https://www.espncricinfo.com/db/PICTURES/CMS/361700/361793.png,#99da0b,https://upload.wikimedia.org/wikipedia/commons/4/43/Major_League_Cricket_logo.svg,#000B5B,#EA0048,https://www.espncricinfo.com/db/PICTURES/CMS/286800/286882.1.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/286800/286882.1.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/286800/286882.1.jpg
Abrar Ahmed,734459,San Francisco Unicorns,2024,Major League Cricket,-13.509,-0.27,-5.765,-0.824,-7.744,-0.18,6,7,0,2,0,7,6,1,1,59,43,7,13,8.233,59,0.857,6,50,0.163,0,0,0.302,0.286,0.857,SF,https://www.espncricinfo.com/db/PICTURES/CMS/361700/361792.png,#f5680a,https://upload.wikimedia.org/wikipedia/commons/4/43/Major_League_Cricket_logo.svg,#000B5B,#EA0048,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png
Adam Zampa,379504,Los Angeles Knight Riders,2023,Major League Cricket,-6.696,-0.048,-9.454,-0.411,2.757,0.024,22,23,1,7,0,23,18,2,9,162,116,16,34,8.379,18,0.957,11,139,0.138,0.043,0,0.293,0.304,0.783,LAKR,https://www.espncricinfo.com/db/PICTURES/CMS/361700/361790.png,#573f82,https://upload.wikimedia.org/wikipedia/commons/4/43/Major_League_Cricket_logo.svg,#000B5B,#EA0048,https://www.espncricinfo.com/db/PICTURES/CMS/321500/321549.png,https://www.espncricinfo.com/db/PICTURES/CMS/321500/321549.png,https://www.espncricinfo.com/db/PICTURES/CMS/263500/263543.1.jpg
Akeal Hosein,530812,Washington Freedom,2023,Major League Cricket,-1.95,-0.013,-2.498,-0.053,0.549,0.005,59,47,6,14,2,42,31,3,7,130,103,14,40,7.573,18.571,1.255,19.667,150,0.136,0.128,0.043,0.388,0.298,0.738,WSH,https://www.espncricinfo.com/db/PICTURES/CMS/361700/361795.png,#df1616,https://upload.wikimedia.org/wikipedia/commons/4/43/Major_League_Cricket_logo.svg,#000B5B,#EA0048,https://www.espncricinfo.com/db/PICTURES/CMS/321900/321939.png,https://www.espncricinfo.com/db/PICTURES/CMS/321900/321939.png,https://www.espncricinfo.com/db/PICTURES/CMS/326100/326139.4.jpg
Akeal Hosein,530812,Washington Freedom,2024,Major League Cricket,-2.377,-0.396,0,0,-2.377,-0.396,NA,0,NA,NA,NA,NA,NA,NA,0,9,6,1,2,9,Inf,NA,NA,6,0.167,NA,NA,0.333,NA,NA,WSH,https://www.espncricinfo.com/db/PICTURES/CMS/361700/361795.png,#df1616,https://upload.wikimedia.org/wikipedia/commons/4/43/Major_League_Cricket_logo.svg,#000B5B,#EA0048,https://www.espncricinfo.com/db/PICTURES/CMS/321900/321939.png,https://www.espncricinfo.com/db/PICTURES/CMS/321900/321939.png,https://www.espncricinfo.com/db/PICTURES/CMS/326100/326139.4.jpg
Ali Khan,927119,Los Angeles Knight Riders,2023,Major League Cricket,-70.515,-0.555,-10.204,-0.85,-60.311,-0.524,5,12,0,8,0,12,5,1,6,208,115,31,39,10.852,34.667,0.417,5,127,0.27,0,0,0.339,0.667,0.417,LAKR,https://www.espncricinfo.com/db/PICTURES/CMS/361700/361790.png,#573f82,https://upload.wikimedia.org/wikipedia/commons/4/43/Major_League_Cricket_logo.svg,#000B5B,#EA0048,https://www.espncricinfo.com/db/PICTURES/CMS/321100/321124.png,https://www.espncricinfo.com/db/PICTURES/CMS/321100/321124.png,https://www.espncricinfo.com/db/PICTURES/CMS/339500/339504.4.jpg
Ali Khan,927119,Los Angeles Knight Riders,2024,Major League Cricket,-6.616,-0.064,-3.002,-0.3,-3.614,-0.039,11,10,1,5,1,10,5,1,4,128,93,13,21,8.258,32,1.1,11,103,0.14,0.1,0.1,0.226,0.5,0.5,LAKR,https://www.espncricinfo.com/db/PICTURES/CMS/361700/361790.png,#573f82,https://upload.wikimedia.org/wikipedia/commons/4/43/Major_League_Cricket_logo.svg,#000B5B,#EA0048,https://www.espncricinfo.com/db/PICTURES/CMS/321100/321124.png,https://www.espncricinfo.com/db/PICTURES/CMS/321100/321124.png,https://www.espncricinfo.com/db/PICTURES/CMS/339500/339504.4.jpg
Ali Sheikh,1193309,Seattle Orcas,2024,Major League Cricket,-2.697,-0.449,0,0,-2.697,-0.449,NA,0,NA,NA,NA,NA,NA,NA,0,10,6,1,1,10,Inf,NA,NA,6,0.167,NA,NA,0.167,NA,NA,SEA,https://www.espncricinfo.com/db/PICTURES/CMS/361700/361793.png,#99da0b,https://upload.wikimedia.org/wikipedia/commons/4/43/Major_League_Cricket_logo.svg,#000B5B,#EA0048,NA,NA,NA
Andre Russell,276298,Los Angeles Knight Riders,2023,Major League Cricket,0.506,0.003,57.099,0.439,-56.593,-0.832,206,130,34,56,15,103,40,3,2,128,68,17,16,11.294,64,1.585,68.667,198,0.25,0.262,0.115,0.235,0.431,0.388,LAKR,https://www.espncricinfo.com/db/PICTURES/CMS/361700/361790.png,#573f82,https://upload.wikimedia.org/wikipedia/commons/4/43/Major_League_Cricket_logo.svg,#000B5B,#EA0048,https://www.espncricinfo.com/db/PICTURES/CMS/316600/316615.png,https://www.espncricinfo.com/db/PICTURES/CMS/316600/316615.png,https://www.espncricinfo.com/db/PICTURES/CMS/308900/308972.png
Andre Russell,276298,Los Angeles Knight Riders,2024,Major League Cricket,17.344,0.123,22.736,0.385,-5.392,-0.066,94,59,13,24,7,50,28,4,1,111,82,15,29,8.122,111,1.593,23.5,141,0.183,0.22,0.119,0.354,0.407,0.56,LAKR,https://www.espncricinfo.com/db/PICTURES/CMS/361700/361790.png,#573f82,https://upload.wikimedia.org/wikipedia/commons/4/43/Major_League_Cricket_logo.svg,#000B5B,#EA0048,https://www.espncricinfo.com/db/PICTURES/CMS/316600/316615.png,https://www.espncricinfo.com/db/PICTURES/CMS/316600/316615.png,https://www.espncricinfo.com/db/PICTURES/CMS/308900/308972.png
