player,cricinfo_id,team,season,competition,match_id,custom_match_id,total_impact,total_impact_per_ball,total_bat_impact,bat_impact_per_ball,total_bowl_impact,bowl_impact_per_ball,runs_for,balls_faced,boundaries,dots_against,sixes,non_boundary_balls_faced,non_boundary_runs_gained,wickets_lost,wickets_taken,runs_against,balls_bowled,boundaries_against,dots_bowled,bowl_economy,bowl_average,strike_rate,average,balls_total,boundary_perc_against,boundary_percentage,six_percentage,dots_bowled_percentage,dots_batted_percentage,non_boundary_strike_rate,team_abbr,logo_url,primary_color,comp_logo,headshot_image_url,headshot_primary_image_url,headshot_secondary_image_url
Adam Hose,525992,Northern Superchargers (Men),2023,The Hundred Men's Competition,1355613,THMC_NSC-M_SB-M_2023-08-06,1.641,0.41,1.641,0.41,0,0,7,4,1,2,1,3,1,NA,NA,NA,0,NA,NA,NA,NA,1.75,NA,4,NA,0.25,0.25,NA,0.5,0.333,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/324200/324227.png,https://www.espncricinfo.com/db/PICTURES/CMS/324200/324227.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png
Adam Hose,525992,Northern Superchargers (Men),2023,The Hundred Men's Competition,1355617,THMC_NSC-M_TR-M_2023-08-09,-6.683,-0.393,-6.683,-0.393,0,0,18,17,3,8,0,15,6,1,NA,NA,0,NA,NA,NA,NA,1.059,18,17,NA,0.176,0,NA,0.471,0.4,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/324200/324227.png,https://www.espncricinfo.com/db/PICTURES/CMS/324200/324227.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png
Adam Hose,525992,Northern Superchargers (Men),2023,The Hundred Men's Competition,1355620,THMC_NSC-M_OI-M_2023-08-11,13.501,0.711,13.501,0.711,0,0,41,19,6,5,3,13,11,1,NA,NA,0,NA,NA,NA,NA,2.158,41,19,NA,0.316,0.158,NA,0.263,0.846,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/324200/324227.png,https://www.espncricinfo.com/db/PICTURES/CMS/324200/324227.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png
Adam Hose,525992,Northern Superchargers (Men),2023,The Hundred Men's Competition,1355623,THMC_MO-M_NSC-M_2023-08-13,-5.141,-0.734,-5.141,-0.734,0,0,5,7,0,3,0,7,5,1,NA,NA,0,NA,NA,NA,NA,0.714,5,7,NA,0,0,NA,0.429,0.714,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/324200/324227.png,https://www.espncricinfo.com/db/PICTURES/CMS/324200/324227.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png
Adam Hose,525992,Northern Superchargers (Men),2023,The Hundred Men's Competition,1355629,THMC_LS-M_NSC-M_2023-08-18,-2.084,-0.08,-2.084,-0.08,0,0,33,26,5,10,1,22,11,1,NA,NA,0,NA,NA,NA,NA,1.269,33,26,NA,0.192,0.038,NA,0.385,0.5,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/324200/324227.png,https://www.espncricinfo.com/db/PICTURES/CMS/324200/324227.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png
Adam Hose,525992,Northern Superchargers (Men),2023,The Hundred Men's Competition,1355632,THMC_MO-M_NSC-M_2023-08-20,5.053,0.842,5.053,0.842,0,0,15,6,3,1,0,3,3,1,NA,NA,0,NA,NA,NA,NA,2.5,15,6,NA,0.5,0,NA,0.167,1,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/324200/324227.png,https://www.espncricinfo.com/db/PICTURES/CMS/324200/324227.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png
Adam Hose,525992,Northern Superchargers (Men),2023,The Hundred Men's Competition,1355635,THMC_NSC-M_WF-M_2023-08-22,-0.06,-0.005,-0.06,-0.005,0,0,15,12,3,6,0,10,3,1,NA,NA,0,NA,NA,NA,NA,1.25,15,12,NA,0.25,0,NA,0.5,0.3,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/324200/324227.png,https://www.espncricinfo.com/db/PICTURES/CMS/324200/324227.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png
Adam Lyth,251721,Northern Superchargers (Men),2023,The Hundred Men's Competition,1355629,THMC_LS-M_NSC-M_2023-08-18,9.444,0.675,9.444,0.675,0,0,26,14,4,3,2,11,6,1,NA,NA,0,NA,NA,NA,NA,1.857,26,14,NA,0.286,0.143,NA,0.214,0.545,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/322800/322853.png,https://www.espncricinfo.com/db/PICTURES/CMS/322800/322853.png,https://www.espncricinfo.com/db/PICTURES/CMS/304300/304333.jpg
Adam Lyth,251721,Northern Superchargers (Men),2023,The Hundred Men's Competition,1355632,THMC_MO-M_NSC-M_2023-08-20,-4.126,-1.032,-4.126,-1.032,0,0,1,4,0,3,0,4,1,1,NA,NA,0,NA,NA,NA,NA,0.25,1,4,NA,0,0,NA,0.75,0.25,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/322800/322853.png,https://www.espncricinfo.com/db/PICTURES/CMS/322800/322853.png,https://www.espncricinfo.com/db/PICTURES/CMS/304300/304333.jpg
Adam Lyth,251721,Northern Superchargers (Men),2023,The Hundred Men's Competition,1355635,THMC_NSC-M_WF-M_2023-08-22,-8.766,-1.096,-8.766,-1.096,0,0,2,8,0,5,0,8,2,1,NA,NA,0,NA,NA,NA,NA,0.25,2,8,NA,0,0,NA,0.625,0.25,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/322800/322853.png,https://www.espncricinfo.com/db/PICTURES/CMS/322800/322853.png,https://www.espncricinfo.com/db/PICTURES/CMS/304300/304333.jpg
